stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
75,1080,"Mazanita at Day Rd",,47.679396,-122.561302,,,,,,0
76,1081,"Koura at Miller",,47.664827,-122.556416,,,,,,0
77,1082,"Island Church Park and Ride",,47.650440,-122.524761,,,,,,0
78,1083,"W. Kingston Rd at Chris Lane",,47.794828,-122.534150,,,,,,0
79,1084,"Island Church Park and Ride",,47.650332,-122.524665,,,,,,0
80,1085,"Miller at New Brooklyn",,47.643724,-122.564964,,,,,,0
81,1086,"11th St. at High",,47.570907,-122.640345,,,,,,0
82,1087,"Bremerton Foot Ferry Dock",,47.562118,-122.623921,,,,,,0
83,1088,"Port Orchard Ferry Dock",,47.542937,-122.635648,,,,,,0
84,1089,"Annapolis Foot Ferry Dock",,47.549414,-122.616345,,,,,,0
85,109,"Wheaton Way at McDonald's (near Pearl)",,47.597817,-122.629302,,,,,,0
86,1090,"Warren at 15th",,47.574481,-122.633035,,,,,,0
87,1091,"11th St. at High",,47.571080,-122.641372,,,,,,0
88,1092,"Miller Bay at Wood Bay",,47.758532,-122.562137,,,,,,0
89,1093,"Miller Bay at Ivanich Loop",,47.765142,-122.561977,,,,,,0
90,1094,"Miller Bay at Silver Springs",,47.772771,-122.558278,,,,,,0
91,1095,"Miller Bay at W. Kingston",,47.794489,-122.541375,,,,,,0
92,1096,"Indianola at Lera Ln",,47.764500,-122.552855,,,,,,0
93,1097,"Indianola at Beach",,47.762005,-122.551286,,,,,,0
94,1098,"Springridge at Fletcher Bay",,47.642652,-122.569410,,,,,,0
95,1099,"Miller at New Brooklyn",,47.643443,-122.564977,,,,,,0
96,1100,"Battle Point at Frey Rd",,47.667139,-122.579894,,,,,,0
97,1101,"Wyatt at Madison",,47.628458,-122.521468,,,,,,0
98,1102,"New Sweden at Eagle Harbor",,47.613639,-122.515689,,,,,,0
99,1103,"Rockaway Beach at Halls Hill",,47.597864,-122.500937,,,,,,0
100,1104,"Old Creosote at Bill Point",,47.614154,-122.503179,,,,,,0
101,1105,"Eagle Harbor at Rose",,47.614139,-122.521246,,,,,,0
103,1107,"Tolo at Battlepoint",,47.653915,-122.579713,,,,,,0
104,1108,"New Brooklyn at Madison",,47.642952,-122.521287,,,,,,0
105,1109,"Koura at Meadowmeer Cir",,47.664871,-122.540546,,,,,,0
106,111,"E. 11th St at Ironsides",,47.570265,-122.611628,,,,,,0
107,1110,"Koura at Miller",,47.664958,-122.556356,,,,,,0
108,1111,"Manzanita at Day Rd",,47.679264,-122.560981,,,,,,0
109,1113,"Hansen at Sunset",,47.638895,-122.577610,,,,,,0
110,1114,"Miller at Tolo",,47.653655,-122.562568,,,,,,0
111,1115,"Grand & Park",,47.633159,-122.496990,,,,,,0
112,1116,"Indianola at View Ridge",,47.754329,-122.539052,,,,,,0
113,1117,"Madison at Manitou Beach",,47.654049,-122.521280,,,,,,0
114,1118,"Sunrise at Valley",,47.664939,-122.510186,,,,,,0
115,1119,"Sunrise at Torvanger",,47.690266,-122.510240,,,,,,0
116,1120,"Phelps at Day",,47.679404,-122.538589,,,,,,0
117,1121,"Baker Hill at Lynwood",,47.606882,-122.548108,,,,,,0
118,1122,"Wyatt Way at Grow",,47.628610,-122.525281,,,,,,0
119,1123,"Blakely at Bucklin",,47.621219,-122.541489,,,,,,0
121,1125,"Kitsap Way at Pershing",,47.568408,-122.670109,,,,,,0
123,1127,"Wyatt at Madison",,47.628596,-122.521539,,,,,,0
125,1129,"Oddfellows at W. Blakely",,47.598319,-122.536397,,,,,,0
126,113,"Wheaton Way at Grocery Outlet",,47.605274,-122.628893,,,,,,0
128,1131,"New Brooklyn at Madison",,47.643087,-122.521570,,,,,,0
129,1133,"Tolo at Battlepoint",,47.653981,-122.579706,,,,,,0
